english,language,handshape,twohands,handpart,mmvrepeated,dmvhandshape,dmvorientation,compound,domhand,twohandsC,mmvcrepeated,dmvchandshape,dmvcorientation,TwoH,PoA,PoA2,Mov,Mov2,Mov3,Mov4,Compounds,hist,geo,SL
dirty,German,A,false,back_of_fingers,true,false,false,false,right,false,false,false,false,0,nose,head,X_left,X_left,X_left false false,X_left,0,DGS,WestEuro,DGS
dog,German,E,true,back_of_fingers,true,true,false,false,right,false,false,false,false,1,Vertical,Vertical,true false,Hs_Change,true false,Hs,0,DGS,WestEuro,DGS
dry,German,E_b,true,tip,false,true,false,false,right,false,false,false,false,1,Lateral,Lateral,X_right,X_right,X_right true false,X_right_Hs,0,DGS,WestEuro,DGS
dust,German,5_nb,true,tip,false,false,false,false,right,false,false,false,false,1,Vertical,Vertical,X_right,X_right,X_right false false,X_right,0,DGS,WestEuro,DGS
earth,German,5,true,radial_side,false,false,true,false,right,false,false,false,false,1,Lateral,Lateral,Z_front,Z_front,Z_front false true,Z_front_Or,0,DGS,WestEuro,DGS
egg,German,L_nb,false,tip,false,false,true,false,right,false,false,false,false,0,Lateral,Lateral,false true,Or_Change,false true,Or,0,DGS,WestEuro,DGS
father,German,V,false,back_of_fingers,false,false,true,false,right,false,false,false,false,0,chin,head,Y_up,Y_up,Y_up false true,Y_up_Or,0,DGS,WestEuro,DGS
feather,German,L_b,false,finger_fronts,true,true,false,false,right,false,false,false,false,0,tip,hand,X_right,X_right,X_right true false,X_right_Hs,0,DGS,WestEuro,DGS
fire,German,5,true,palm,true,false,false,false,right,false,false,false,false,1,Lateral,Lateral,Y_up,Y_up,Y_up false false,Y_up,0,DGS,WestEuro,DGS
fish,German,E,false,tip,false,false,true,false,right,false,false,false,false,0,Lateral,Lateral,X_left,X_left,X_left false true,X_left_Or,0,DGS,WestEuro,DGS
flower,German,S,false,back_of_palm,false,true,false,false,right,false,false,false,false,0,palm,hand,Y_up,Y_up,Y_up true false,Y_up_Hs,0,DGS,WestEuro,DGS
full,German,B,false,back_of_palm,false,false,false,false,right,false,false,false,false,0,palm,hand,Y_up,Y_up,Y_up false false,Y_up,0,DGS,WestEuro,DGS
