english,idlang,language,handshape,twohands,handpart,pmv,mmvrepeated,dmvhandshape,dmvorientation,compound,domhand,twohandsC,TwoH,PoA,PoA2,Mov,Mov2,Mov3,Mov4,Compounds
fish,35,Chinese,E,false,tip,X_left,false,false,true,false,right,false,0,Lateral,Lateral,X_left,X_left,X_left false true,X_left_Or,0
flower,35,Chinese,E_bnb,false,tip,NA,true,true,false,false,right,false,0,Horizontal,Horizontal,true false,Hs_Change,true false,Hs,0
full,35,Chinese,E,false,back_of_fingers,Y_up,false,false,false,false,right,false,0,below_chin,head,Y_up,Y_up,Y_up false false,Y_up,0
good,35,Chinese,A,false,back_of_palm,Z_front,false,false,false,false,right,false,0,Vertical,Vertical,Z_front,Z_front,Z_front false false,Z_front,0
grass,35,Chinese,E,false,palm,Y_up,true,false,false,false,right,false,0,Lateral,Lateral,Y_up,Y_up,Y_up false false,Y_up,0
grease,35,Chinese,1_b,false,tip,X_left,false,false,false,false,right,false,0,nose,head,X_left,X_left,X_left false false,X_left,1
green,35,Chinese,E_b,false,finger_fronts,Y_up,true,true,false,false,right,false,0,finger_fronts,hand,Y_up,Y_up,Y_up true false,Y_up_Hs,1
heavy,35,Chinese,E_b,false,back_of_palm,Y_down,false,false,false,false,right,false,0,Horizontal,Horizontal,Y_down,Y_down,Y_down false false,Y_down,0
how,35,Chinese,5,false,back_of_palm,NA,false,false,true,false,right,false,0,Horizontal,Horizontal,false true,Or_Change,false true,Or,0
husband,35,Chinese,A,false,tip,NA,false,true,false,false,right,false,0,Lateral,Lateral,true false,Hs_Change,true false,Hs,1
ice,35,Chinese,E_b,false,tip,X_right,true,false,false,false,right,false,0,Horizontal,Horizontal,X_right,X_right,X_right false false,X_right,0
if,35,Chinese,B_b,false,radial_side,Z_back,true,false,false,false,right,false,0,forehead,head,Z_back,Z_back,Z_back false false,Z_back,0
kill,35,Chinese,E,false,ulnar_side,X_left,false,false,false,false,right,false,0,radial_side,hand,X_left,X_left,X_left false false,X_left,0
laugh,35,Chinese,L_nb,false,tip,Y_down,true,false,false,false,right,false,0,mouth,head,Y_down,Y_down,Y_down false false,Y_down,0
leaf,35,Chinese,E_b,false,finger_fronts,Y_up,true,true,false,false,right,false,0,back_of_fingers,hand,Y_up,Y_up,Y_up true false,Y_up_Hs,0
lie,35,Chinese,E,false,radial_side,NA,false,true,false,false,right,false,0,chin,head,true false,Hs_Change,true false,Hs,1
live,35,Chinese,1,false,finger_fronts,Y_up,false,false,true,false,right,false,0,cheek,head,Y_up,Y_up,Y_up false true,Y_up_Or,0
long,35,Chinese,L,false,tip,X_left,false,false,false,false,right,false,0,palm,hand,X_left,X_left,X_left false false,X_left,0
look_for,35,Chinese,3_b,false,heel,X_left,false,false,true,false,right,false,0,Vertical,Vertical,X_left,X_left,X_left false true,X_left_Or,0
man,35,Chinese,E,false,palm,Z_back,true,false,false,false,right,false,0,top,head,Z_back,Z_back,Z_back false false,Z_back,0
meat,35,Chinese,A,false,finger_fronts,NA,false,true,false,false,right,false,0,ulnar_side,hand,true false,Hs_Change,true false,Hs,0
moon,35,Chinese,L,false,tip,Y_down,false,true,false,false,right,false,0,Vertical,Vertical,Y_down,Y_down,Y_down true false,Y_down_Hs,0
mother,35,Chinese,1,false,radial_side,Z_back,true,false,false,false,right,false,0,chin,head,Z_back,Z_back,Z_back false false,Z_back,0
mountain,35,Chinese,J,false,finger_fronts,Z_back,false,false,false,false,right,false,0,Vertical,Vertical,Z_back,Z_back,Z_back false false,Z_back,1
name,35,Chinese,1,false,tip,Y_down,true,false,false,false,right,false,0,tip,hand,Y_down,Y_down,Y_down false false,Y_down,0
narrow,35,Chinese,E,false,palm,X_right,false,false,false,false,right,false,0,Lateral,Lateral,X_right,X_right,X_right false false,X_right,0
new,35,Chinese,A,false,ulnar_side,X_left,false,false,false,false,right,false,0,back_of_palm,hand,X_left,X_left,X_left false false,X_left,0
night,35,Chinese,E,false,radial_side,X_right,false,true,false,false,right,false,0,forehead,head,X_right,X_right,X_right true false,X_right_Hs,0
not,35,Chinese,B,false,palm,NA,true,false,true,false,right,false,0,Vertical,Vertical,false true,Or_Change,false true,Or,0
old,35,Chinese,E,false,palm,Y_down,false,false,false,false,right,false,0,mouth,head,Y_down,Y_down,Y_down false false,Y_down,1
other,35,Chinese,1,false,tip,X_left,false,false,true,false,right,false,0,Vertical,Vertical,X_left,X_left,X_left false true,X_left_Or,0
person,35,Chinese,1,false,tip,X_right,false,false,false,false,right,false,0,tip,hand,X_right,X_right,X_right false false,X_right,0
pig,35,Chinese,E,false,radial_side,NA,false,true,false,false,right,false,0,forehead,head,true false,Hs_Change,true false,Hs,0
play,35,Chinese,B,false,palm,NA,false,false,true,false,right,false,0,Lateral,Lateral,false true,Or_Change,false true,Or,0
rain,35,Chinese,5_b,false,tip,Y_down,true,false,false,false,right,false,0,Horizontal,Horizontal,Y_down,Y_down,Y_down false false,Y_down,0
red,35,Chinese,H,false,finger_fronts,Z_back,false,false,false,false,right,false,0,mouth,head,Z_back,Z_back,Z_back false false,Z_back,0
river,35,Chinese,E,false,palm,Z_front,false,false,false,false,right,false,0,Horizontal,Horizontal,Z_front,Z_front,Z_front false false,Z_front,0
salt,35,Chinese,L_b,false,tip,Y_down,true,false,false,false,right,false,0,neck,torso,Y_down,Y_down,Y_down false false,Y_down,0
sea,35,Chinese,5,false,palm,X_left,true,false,true,false,right,false,0,Horizontal,Horizontal,X_left,X_left,X_left false true,X_left_Or,0
sharp,35,Chinese,L_b,false,finger_fronts,X_left,false,true,false,false,right,false,0,tip,hand,X_left,X_left,X_left true false,X_left_Hs,0
short,35,Chinese,B,false,palm,X_right,true,false,false,false,right,false,0,Lateral,Lateral,X_right,X_right,X_right false false,X_right,0
singing,35,Chinese,1_b,false,radial_side,Z_front,true,true,false,false,right,false,0,neck,torso,Z_front,Z_front,Z_front true false,Z_front_Hs,0
sister,35,Chinese,M,false,tip,Z_back,false,false,false,false,right,false,0,chin,head,Z_back,Z_back,Z_back false false,Z_back,1
sit,35,Chinese,Y,false,ulnar_side,Y_down,false,false,false,false,right,false,0,palm,hand,Y_down,Y_down,Y_down false false,Y_down,0
smooth,35,Chinese,E,false,palm,Z_front,false,false,false,false,right,false,0,palm,hand,Z_front,Z_front,Z_front false false,Z_front,0
snake,35,Chinese,H,false,heel,NA,false,false,true,false,right,false,0,chin,head,false true,Or_Change,false true,Or,0
snow,35,Chinese,5,false,finger_fronts,Y_down,true,true,false,false,right,false,0,Horizontal,Horizontal,Y_down,Y_down,Y_down true false,Y_down_Hs,0
stand,35,Chinese,H,false,tip,Y_down,false,false,false,false,right,false,0,palm,hand,Y_down,Y_down,Y_down false false,Y_down,0
star,35,Chinese,L_enb,false,radial_side,X_left,true,false,true,false,right,false,0,Vertical,Vertical,X_left,X_left,X_left false true,X_left_Or,0
stone,35,Chinese,H_nb,false,ulnar_side,NA,true,false,true,false,right,false,0,wrist_front,arm,false true,Or_Change,false true,Or,0
string,35,Chinese,1_b,false,tip,X_left,true,false,false,false,right,false,0,Lateral,Lateral,X_left,X_left,X_left false false,X_left,1
sun,35,Chinese,L,false,tip,X_left,false,false,false,false,right,false,0,Vertical,Vertical,X_left,X_left,X_left false false,X_left,0
tail,35,Chinese,1,false,heel,NA,true,true,false,false,right,false,0,ulnar_side,hand,true false,Hs_Change,true false,Hs,0
thin,35,Chinese,5,false,finger_fronts,Y_down,false,true,false,false,right,false,0,cheek,head,Y_down,Y_down,Y_down true false,Y_down_Hs,0
tree,35,Chinese,L,false,ulnar_side,Y_up,false,false,true,false,right,false,0,Horizontal,Horizontal,Y_up,Y_up,Y_up false true,Y_up_Or,0
vomit,35,Chinese,B_nb,false,palm,Z_front,true,false,false,false,right,false,0,mouth,head,Z_front,Z_front,Z_front false false,Z_front,0
warm,35,Chinese,5_nb,false,palm,Y_up,true,false,false,false,right,false,0,Horizontal,Horizontal,Y_up,Y_up,Y_up false false,Y_up,0
water,35,Chinese,1,false,finger_fronts,Z_back,false,false,false,false,right,false,0,mouth,head,Z_back,Z_back,Z_back false false,Z_back,0
wet,35,Chinese,V,false,back_of_fingers,Z_front,false,false,false,false,right,false,0,Vertical,Vertical,Z_front,Z_front,Z_front false false,Z_front,1
what,35,Chinese,1,false,finger_fronts,NA,true,false,true,false,right,false,0,Vertical,Vertical,false true,Or_Change,false true,Or,0
when,35,Chinese,L,false,finger_fronts,NA,true,false,true,false,right,false,0,Lateral,Lateral,false true,Or_Change,false true,Or,1
where,35,Chinese,1_nb,false,tip,X_left,true,false,true,false,right,false,0,Horizontal,Horizontal,X_left,X_left,X_left false true,X_left_Or,0
white,35,Chinese,E,false,palm,X_left,false,false,false,false,right,false,0,back_of_fingers,hand,X_left,X_left,X_left false false,X_left,1
who,35,Chinese,1,false,finger_fronts,NA,true,false,true,false,right,false,0,Vertical,Vertical,false true,Or_Change,false true,Or,1
wide,35,Chinese,E,false,palm,X_left,false,false,false,false,right,false,0,Lateral,Lateral,X_left,X_left,X_left false false,X_left,0
wife,35,Chinese,A,false,finger_fronts,NA,false,true,false,false,right,false,0,Lateral,Lateral,true false,Hs_Change,true false,Hs,1
wind,35,Chinese,5,false,palm,X_right,true,false,false,false,right,false,0,Lateral,Lateral,X_right,X_right,X_right false false,X_right,0
with,35,Chinese,E_b,false,palm,X_right,false,false,false,false,right,false,0,Lateral,Lateral,X_right,X_right,X_right false false,X_right,0
woman,35,Chinese,L_b,false,tip,X_right,true,false,false,false,right,false,0,cheek,head,X_right,X_right,X_right false false,X_right,0
