english,language,handshape,twohands,handpart,mmvrepeated,dmvhandshape,dmvorientation,compound,domhand,twohandsC,mmvcrepeated,dmvchandshape,dmvcorientation,annotator,TwoH,PoA,PoA2,Mov,Mov2,Mov3,Mov4,Compounds,hist,geo,SL,,
full,Russian,E,false,palm,false,false,false,false,right,false,false,false,false,shi,0,radial_side,hand,Z_front,Z_front,Z_front,false,false,Z_front,0,RSL,EastEuro,RSL
good,Russian,E,false,finger_fronts,true,false,false,false,right,false,true,false,false,shi,0,forehead,head,Z_back,Z_back,Z_back,false,false,Z_back,1,RSL,EastEuro,RSL
grass,Russian,5,true,palm,true,false,false,false,right,false,false,false,false,shi,1,Lateral,Lateral,Y_up,Y_up,Y_up,false,false,Y_up,0,RSL,EastEuro,RSL
grease,Russian,B_b,false,back_of_fingers,false,false,false,false,right,false,false,false,false,Annotator,0,below_chin,head,Z_front,Z_front,Z_front,false,false,Z_front,0,RSL,EastEuro,RSL
green,Russian,1,false,radial_side,true,false,false,false,right,false,false,false,false,shi,0,cheek,head,Z_back,Z_back,Z_back,false,false,Z_back,0,RSL,EastEuro,RSL
heavy,Russian,E,false,back_of_fingers,false,false,true,false,right,false,false,false,false,shi,0,back_of_fingers,hand,false,true,Or_Change,false,true,Or,0,RSL,EastEuro,RSL
how,Russian,H,false,finger_fronts,true,true,false,false,right,false,false,false,false,shi,0,Lateral,Lateral,true,false,Hs_Change,true,false,Hs,0,RSL,EastEuro,RSL
husband,Russian,L_eb,false,tip,false,false,false,false,right,false,false,false,false,shi,0,back_of_palm,hand,X_left,X_left,X_left,false,false,X_left,0,RSL,EastEuro,RSL
ice,Russian,V,false,finger_fronts,false,false,true,false,right,true,false,false,true,Annotator,0,Horizontal,Horizontal,false,true,Or_Change,false,true,Or,1,RSL,EastEuro,RSL
if,Russian,5,true,back_of_palm,true,false,false,false,right,false,false,false,false,shi,1,Horizontal,Horizontal,Y_up,Y_up,Y_up,false,false,Y_up,0,RSL,EastEuro,RSL
kill,Russian,S,false,radial_side,false,false,false,false,right,false,false,false,false,Annotator,0,palm,hand,X_left,X_left,X_left,false,false,X_left,0,RSL,EastEuro,RSL
laugh,Russian,V_nb,false,back_of_fingers,true,false,false,false,right,false,false,false,false,shi,0,chin,head,Z_back,Z_back,Z_back,false,false,Z_back,0,RSL,EastEuro,RSL
leaf,Russian,L_b,false,tip,false,true,true,false,right,false,false,false,false,shi,0,tip,hand,true,true,Or_HS_Change,true,true,Hs_Or,0,RSL,EastEuro,RSL
lie,Russian,Q,false,heel,true,false,false,false,right,false,false,false,false,shi,0,back_of_palm,hand,Z_front,Z_front,Z_front,false,false,Z_front,0,RSL,EastEuro,RSL
