"X","Language","Meaning","C1","V1","C2","V2"
327,"Parkatêjê","ALL","w","ə̂","r","∅"
328,"Parkatêjê","WING","j","a","r","a"
329,"Parkatêjê","IMAGE","k","a","r","õ"
330,"Parkatêjê","SPIRIT","k","a","r","õ"
331,"Parkatêjê","THROW (PLURAL)","r","ẽ","n","∅"
332,"Parkatêjê","TELL","j","a","r","ẽ"
333,"Parkatêjê","LOOK","r","ĩ","t","∅"
334,"Parkatêjê","BASKET","k","ə","h","ə"
335,"Parkatêjê","BIG BIRD","h","ə","k","∅"
336,"Parkatêjê","FALCON","h","ə","k","∅"
337,"Parkatêjê","FIRE","k","u","h","y"
338,"Parkatêjê","PAINT","h","ô","k","∅"
339,"Parkatêjê","CHILD","k","∅","ɾ","a"
340,"Parkatêjê","LIE","h","ê","j","∅"
341,"Parkatêjê","BITE","c","a","r","∅"
342,"Parkatêjê","HANG (SINGULAR)","c","ô","r","∅"
343,"Parkatêjê","ENTER (SINGULAR)","c","ə","r","∅"
344,"Parkatêjê","BE SEATED (SINGULAR)","j","ỹ","r","∅"
345,"Parkatêjê","TOOTH","c","∅","w","a"
346,"Parkatêjê","PLACE LAYING DOWN (SINGULAR)","c","i","r","∅"
347,"Parkatêjê","SWEET POTATO","j","ə","t","∅"
348,"Parkatêjê","WHO","j","ũ","m","∅"
349,"Parkatêjê","SING (BIRDS)","k","ə","r","∅"
350,"Parkatêjê","AXE","k","ə","j","∅"
351,"Parkatêjê","KNIFE","k","ə","j","∅"
352,"Parkatêjê","DRINK","∅","i","k","õ"
353,"Parkatêjê","THIRST","k","ɔ","ɾ","∅"
354,"Parkatêjê","EAT (PLURAL)","k","u","ɾ","∅"
355,"Parkatêjê","STONE","k","ẽ","n","∅"
356,"Parkatêjê","HAPPY","k","ĩ","n","∅"
357,"Parkatêjê","LIKE","k","ĩ","n","∅"
358,"Parkatêjê","HEAD","k","∅","ɾ","ə̃"
359,"Parkatêjê","COLD","k","∅","ɾ","ɨ"
360,"Parkatêjê","HOLE","k","∅","ɾ","ɛ"
361,"Parkatêjê","BE SITTING (PLURAL)","k","∅","ɾ","ĩ"
362,"Parkatêjê","SNAKE","k","a","h","ə̃"
363,"Parkatêjê","LIQUID","k","a","k","ɔ"
364,"Parkatêjê","DRY","k","∅","ɾ","ə"
365,"Parkatêjê","EGG","k","∅","ɾ","ɛ"
366,"Parkatêjê","VAGINA","k","∅","ɾ","ɛ"
367,"Parkatêjê","DANCE","k","∅","ɾ","ɛ"
368,"Parkatêjê","SING","k","∅","ɾ","ɛ"
369,"Parkatêjê","ROAST (PLURAL)","c","ə","ɾ","∅"
370,"Parkatêjê","SLEEP","h","õ","ɾ","∅"
371,"Canela-Krahô","FARM","p","u","r","∅"
372,"Canela-Krahô","FISH","t","e","p","∅"
373,"Canela-Krahô","POUR","k","a","p","ĩ"
374,"Canela-Krahô","PATH","p","∅","r","y"
375,"Canela-Krahô","COVER","p","∅","r","o"
376,"Canela-Krahô","WIFE","p","∅","r","õ"
377,"Canela-Krahô","MACAW","p","ə","n","∅"
378,"Canela-Krahô","SUN","p","y","t","∅"
379,"Canela-Krahô","GO (PLURAL)","m","õ","r","∅"
380,"Canela-Krahô","SEE","p","u","p","u"
381,"Canela-Krahô","NECK","p","u","t","∅"
382,"Canela-Krahô","GOOD","p","e","j","∅"
383,"Canela-Krahô","HONEY","p","e","n","∅"
384,"Canela-Krahô","THROW","m","ẽ","n","∅"
385,"Canela-Krahô","WALK (SINGULAR)","p","∅","r","a"
386,"Canela-Krahô","THROW (SINGULAR)","k","a","p","a"
387,"Canela-Krahô","WHISTLE","∅","a","p","ô"
388,"Canela-Krahô","NON-INDIGENOUS","k","u","p","ẽ"
389,"Canela-Krahô","SCRATCH","p","ê","n","∅"
